"","year","month","day","Temp","Sal","DO_mgl","pH","Turb"
"131",2007,5,11,19.240625,14.4708333333333,10.63125,8.32291666666667,2.15625
"132",2007,5,12,19.9208333333333,14.4729166666667,10.25,8.265625,2.15625
"133",2007,5,13,18.8791666666667,14.6947916666667,9.16145833333333,8.09791666666667,12.1041666666667
"134",2007,5,14,19.025,14.628125,9.43229166666667,8.1375,5.67708333333333
"135",2007,5,15,19.103125,14.7052083333333,9.05833333333333,8.10104166666667,5.63541666666667
"136",2007,5,16,19.4302083333333,16.171875,8.7875,8.01145833333333,7.92708333333333
"137",2007,5,17,19.8864583333333,16.659375,8.8125,8.00729166666667,7.08333333333333
"138",2007,5,18,17.7458333333333,17.1625,8.73645833333333,7.98333333333333,18.4791666666667
"139",2007,5,19,17.7604166666667,17.2166666666667,9.25,8.02604166666667,4.52083333333333
"140",2007,5,20,18.4791666666667,17.1927083333333,9.03229166666667,8.08125,5.20833333333333
"141",2007,5,21,19.5822916666667,17.115625,8.70833333333333,8.11770833333333,15.3263157894737
"142",2007,5,22,19.9125,17.08125,8.36052631578947,8.19166666666667,9.78125
"143",2007,5,23,20.4322916666667,17.071875,9.14897959183673,8.21770833333333,26.5520833333333
"144",2007,5,24,20.9229166666667,17.215625,8.63125,8.19791666666667,13.4791666666667
"145",2007,5,25,21.7510416666667,17.1458333333333,8.778125,8.196875,6.72916666666667
"146",2007,5,26,22.3291666666667,17.1729166666667,9.00729166666667,8.21354166666667,4.8125
"147",2007,5,27,22.3375,17.025,8.94583333333333,8.225,5.30208333333333
"148",2007,5,28,22.36875,17.1020833333333,8.76666666666667,8.20416666666667,4.48958333333333
"149",2007,5,29,23.7364583333333,17.0625,8.31145833333333,8.16770833333333,12.0104166666667
"150",2007,5,30,23.890625,17.0270833333333,8.18020833333333,8.21041666666667,14.5
"151",2007,5,31,24.325,16.9395833333333,7.84166666666667,8.221875,19.0833333333333
"152",2007,6,1,24.2552083333333,16.9104166666667,8.08854166666667,8.24479166666667,12.9042553191489
"153",2007,6,2,23.6625,17.0277777777778,7.36111111111111,8.21666666666667,12.0520833333333
